Fecha,ID_Producto,Nombre_Producto,Cantidad_Vendida,Precio_Unitario,Cliente,Región
2023-01-01,1,Tornillo Acero,50,0.75,Industrias ACME,Norte
2023-01-02,2,Válvula Bronce,10,45.00,Metalúrgica Beta,Sur
2023-01-03,3,Junta Silicona,25,3.50,Plásticos Gamma,Este
2023-01-04,1,Tornillo Acero,120,0.70,Talleres Delta,Oeste
2023-01-05,2,Válvula Bronce,8,47.50,Fundiciones Epsilon,Norte
2023-01-06,3,Junta Silicona,40,3.25,Máquinas Zeta,Sur
2023-01-07,1,Tornillo Acero,85,0.80,Equipos Eta,Este
2023-01-08,2,Válvula Bronce,12,46.00,Herramientas Theta,Oeste
2023-01-09,3,Junta Silicona,30,3.75,Sistemas Iota,Norte
2023-01-10,1,Tornillo Acero,60,0.72,Componentes Kappa,Sur
2023-01-11,2,Válvula Bronce,15,44.50,Industrias Lambda,Este
2023-01-12,3,Junta Silicona,45,3.30,Suministros Mu,Oeste
2023-01-13,1,Tornillo Acero,110,0.68,Repuestos Nu,Norte
2023-01-14,2,Válvula Bronce,9,48.00,Maquinaria Xi,Sur
2023-01-15,3,Junta Silicona,35,3.60,Fabricaciones Omicron,Este
2023-01-16,1,Tornillo Acero,75,0.78,Proveedores Pi,Oeste
2023-01-17,2,Válvula Bronce,7,49.50,Distribuidores Rho,Norte
2023-01-18,3,Junta Silicona,28,3.45,Comercial Sigma,Sur
2023-01-19,1,Tornillo Acero,95,0.73,Ingeniería Tau,Este
2023-01-20,2,Válvula Bronce,11,45.75,Logística Upsilon,Oeste
2023-01-21,3,Junta Silicona,50,3.20,Operaciones Phi,Norte
2023-01-22,1,Tornillo Acero,65,0.77,Técnicos Chi,Sur
2023-01-23,2,Válvula Bronce,14,43.80,Consultores Psi,Este
2023-01-24,3,Junta Silicona,38,3.55,Desarrollos Omega,Oeste
2023-01-25,1,Tornillo Acero,105,0.69,Corporación Alpha,Norte
2023-01-26,2,Válvula Bronce,6,50.00,Grupo Beta,Sur
2023-01-27,3,Junta Silicona,32,3.65,Empresas Gamma,Este
2023-01-28,1,Tornillo Acero,80,0.76,Consorcio Delta,Oeste
2023-01-29,2,Válvula Bronce,13,44.25,Holdings Epsilon,Norte
2023-01-30,3,Junta Silicona,42,3.35,Inversiones Zeta,Sur
2023-01-31,1,Tornillo Acero,55,0.74,Manufacturas Eta,Este
2023-02-01,2,Válvula Bronce,16,42.50,Compañía Theta,Oeste
2023-02-02,3,Junta Silicona,48,3.15,Organización Iota,Norte
2023-02-03,1,Tornillo Acero,115,0.67,Asociados Kappa,Sur
2023-02-04,2,Válvula Bronce,5,51.00,Sociedad Lambda,Este
2023-02-05,3,Junta Silicona,27,3.70,Cooperativa Mu,Oeste
2023-02-06,1,Tornillo Acero,70,0.79,Alianzas Nu,Norte
2023-02-07,2,Válvula Bronce,17,41.75,Uniones Xi,Sur
2023-02-08,3,Junta Silicona,37,3.50,Agrupaciones Omicron,Este
2023-02-09,1,Tornillo Acero,90,0.71,Colectivos Pi,Oeste
2023-02-10,2,Válvula Bronce,4,52.50,Conjuntos Rho,Norte
2023-02-11,3,Junta Silicona,52,3.10,Consorcios Sigma,Sur
2023-02-12,1,Tornillo Acero,125,0.65,Asambleas Tau,Este
2023-02-13,2,Válvula Bronce,18,40.25,Comités Upsilon,Oeste
